started_UTC	stage	status	expected	runtime_s	command	log
2026-09-06T04:37:51.760236+00:00	lock_protocol_mutation_article_cls	2	2	0.722	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_article_cls.log
2026-09-06T04:37:52.482412+00:00	lock_protocol_mutation_amsmath_sty	2	2	0.772	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_amsmath_sty.log
2026-09-06T04:37:53.254886+00:00	lock_protocol_mutation_amssymb_sty	2	2	0.728	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_amssymb_sty.log
2026-09-06T04:37:53.983609+00:00	lock_protocol_mutation_amsthm_sty	2	2	0.784	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_amsthm_sty.log
2026-09-06T04:37:54.768749+00:00	lock_protocol_mutation_array_sty	2	2	0.784	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_array_sty.log
2026-09-06T04:37:55.553016+00:00	lock_protocol_mutation_biblatex_sty	2	2	0.783	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_biblatex_sty.log
2026-09-06T04:37:56.336687+00:00	lock_protocol_mutation_booktabs_sty	2	2	0.788	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_booktabs_sty.log
2026-09-06T04:37:57.125220+00:00	lock_protocol_mutation_cleveref_sty	2	2	0.828	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_cleveref_sty.log
2026-09-06T04:37:57.954607+00:00	lock_protocol_mutation_enumitem_sty	2	2	0.786	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_enumitem_sty.log
2026-09-06T04:37:58.741234+00:00	lock_protocol_mutation_float_sty	2	2	0.775	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_float_sty.log
2026-09-06T04:37:59.516738+00:00	lock_protocol_mutation_fontenc_sty	2	2	0.781	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_fontenc_sty.log
2026-09-06T04:38:00.298468+00:00	lock_protocol_mutation_geometry_sty	2	2	0.781	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_geometry_sty.log
2026-09-06T04:38:01.079719+00:00	lock_protocol_mutation_graphics_sty	2	2	0.778	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_graphics_sty.log
2026-09-06T04:38:01.857919+00:00	lock_protocol_mutation_graphicx_sty	2	2	0.78	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_graphicx_sty.log
2026-09-06T04:38:02.638320+00:00	lock_protocol_mutation_hyperref_sty	2	2	0.825	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_hyperref_sty.log
2026-09-06T04:38:03.464286+00:00	lock_protocol_mutation_lmodern_sty	2	2	0.787	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_lmodern_sty.log
2026-09-06T04:38:04.251329+00:00	lock_protocol_mutation_longtable_sty	2	2	0.774	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_longtable_sty.log
2026-09-06T04:38:05.025629+00:00	lock_protocol_mutation_lineno_sty	2	2	0.784	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_lineno_sty.log
2026-09-06T04:38:05.810733+00:00	lock_protocol_mutation_mathtools_sty	2	2	0.787	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_mathtools_sty.log
2026-09-06T04:38:06.598316+00:00	lock_protocol_mutation_microtype_sty	2	2	0.791	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_microtype_sty.log
2026-09-06T04:38:07.390198+00:00	lock_protocol_mutation_pgf_sty	2	2	0.825	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_pgf_sty.log
2026-09-06T04:38:08.215773+00:00	lock_protocol_mutation_tikz_sty	2	2	0.844	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_tikz_sty.log
2026-09-06T04:38:09.060936+00:00	lock_protocol_mutation_standalone_cls	2	2	0.774	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_standalone_cls.log
2026-09-06T04:38:09.834977+00:00	lock_protocol_mutation_grfext_sty	2	2	0.782	bash environment/check_toolchain.sh --quiet	logs/lock_protocol_mutation_grfext_sty.log
2026-09-06T04:38:21.709481+00:00	regenerate_profile	0	0	0.344	python computation/generate_current_profile_data.py	logs/regenerate_profile.log
2026-09-06T04:38:22.054256+00:00	regenerate_tables	0	0	0.295	python computation/generate_tables.py	logs/regenerate_tables.log
2026-09-06T04:38:22.349494+00:00	regenerate_sign_tables	0	0	0.291	python computation/generate_sign_certificate_tables.py	logs/regenerate_sign_tables.log
2026-09-06T04:38:22.641420+00:00	portable_source_audit	0	0	0.132	python computation/audit_manuscript.py	logs/portable_source_audit.log
2026-09-06T04:38:22.773359+00:00	portable_detached_provenance	0	0	0.4	python independent_verifier/verify_current_numerical_provenance.py	logs/portable_detached_provenance.log
2026-09-06T04:38:23.174072+00:00	portable_symbolic_aggregate	0	0	27.469	python independent_verifier/verify_symbolic_certificates.py	logs/portable_symbolic_aggregate.log
2026-09-06T04:38:50.643871+00:00	portable_integrated_improved	0	0	4.328	python independent_verifier/verify_improved_profile.py	logs/portable_integrated_improved.log
2026-09-06T04:38:54.972102+00:00	portable_integrated_family	0	0	0.405	python independent_verifier/frontier_verify_family.py 3 4 5 6 8 10	logs/portable_integrated_family.log
2026-09-06T04:38:55.377388+00:00	portable_integrated_normal_form	0	0	0.454	python independent_verifier/frontier_verify_normal_form.py 3	logs/portable_integrated_normal_form.log
2026-09-06T04:38:55.831473+00:00	portable_integrated_pareto	0	0	1.391	python independent_verifier/frontier_verify_pareto.py 3 4 5 6 8 10 149 200	logs/portable_integrated_pareto.log
2026-09-06T04:38:57.222551+00:00	portable_integrated_exchange	0	0	0.348	python independent_verifier/verify_exchange_of_stability.py	logs/portable_integrated_exchange.log
2026-09-06T04:38:57.570701+00:00	portable_integrated_branch	0	0	0.401	python independent_verifier/verify_branch_stability.py	logs/portable_integrated_branch.log
2026-09-06T04:38:57.971801+00:00	export_m3	0	0	0.235	python computation/export_instance.py 3 --out data/network_instances/Nhat_m3.json	logs/export_m3.log
2026-09-06T04:38:58.206914+00:00	export_m4	0	0	0.235	python computation/export_instance.py 4 --out data/network_instances/Nhat_m4.json	logs/export_m4.log
2026-09-06T04:38:58.442279+00:00	export_m5	0	0	0.235	python computation/export_instance.py 5 --out data/network_instances/Nhat_m5.json	logs/export_m5.log
2026-09-06T04:38:58.677162+00:00	export_m6	0	0	0.243	python computation/export_instance.py 6 --out data/network_instances/Nhat_m6.json	logs/export_m6.log
2026-09-06T04:38:58.920338+00:00	export_m8	0	0	0.241	python computation/export_instance.py 8 --out data/network_instances/Nhat_m8.json	logs/export_m8.log
2026-09-06T04:38:59.162057+00:00	export_m10	0	0	0.243	python computation/export_instance.py 10 --out data/network_instances/Nhat_m10.json	logs/export_m10.log
2026-09-06T04:38:59.405374+00:00	export_pareto_m3	0	0	0.353	python computation/export_pareto_instance.py 3 --out data/exact_instances/pareto_m3_L0.json	logs/export_pareto_m3.log
2026-09-06T04:38:59.758365+00:00	export_pareto_m4	0	0	0.351	python computation/export_pareto_instance.py 4 --out data/exact_instances/pareto_m4_L0.json	logs/export_pareto_m4.log
2026-09-06T04:39:00.109910+00:00	full_15_simulations	0	0	8.026	python computation/simulations.py --outdir data/simulations --jobs 3	logs/full_15_simulations.log
2026-09-06T04:39:08.136360+00:00	regenerated_numerical_provenance	0	0	0.296	python computation/audit_numerical_provenance.py	logs/regenerated_numerical_provenance.log
2026-09-06T04:39:08.432708+00:00	figure_stable_tradeoff	0	0	1.81	python figures/stable_tradeoff.py	logs/figure_stable_tradeoff.log
2026-09-06T04:39:10.243572+00:00	figure_stable_profiles	0	0	1.44	python figures/stable_profiles.py	logs/figure_stable_profiles.log
2026-09-06T04:39:11.684035+00:00	figure_amplitude_scaling	0	0	1.054	python figures/amplitude_scaling.py	logs/figure_amplitude_scaling.log
2026-09-06T04:39:12.738247+00:00	portable_stale_claim_audit	0	0	0.133	python computation/audit_stale_claims.py	logs/portable_stale_claim_audit.log
2026-09-06T04:39:33.867779+00:00	bundle_and_detached_source_checks	0	0	0.724	python bundle_checks.py	logs/bundle_and_detached_source_checks.log
