m,mu,comparison,base_modes,refined_modes,base_amplitude,refined_amplitude,relative_difference,base_rtol,refined_rtol
3,0.02,spatial,16.0,32.0,0.3724116177478588,0.372411618206053,1.2303434758749943e-09,,
3,0.02,temporal_tolerance,,,0.3724116177478588,0.37241162143427653,9.898771989005686e-09,2e-08,5e-10
5,0.02,spatial,16.0,32.0,0.36099320756867975,0.3609932060718498,4.146421352530859e-09,,
5,0.02,temporal_tolerance,,,0.36099320756867975,0.36099321237963117,1.3326985799291814e-08,2e-08,5e-10
8,0.02,spatial,16.0,32.0,0.3584179404276733,0.35841794042452785,8.775867520725e-12,,
8,0.02,temporal_tolerance,,,0.3584179404276733,0.3584179462507198,1.6246526173879546e-08,2e-08,5e-10
