source_index	target_index	relation
455	875	equal
456	876	equal
457	877	equal
458	878	equal
459	879	equal
460	880	equal
461	881	equal
462	882	equal
463	883	equal
464	884	equal
465	885	equal
466	886	equal
467	887	equal
468	888	equal
469	889	equal
470	890	equal
471	891	equal
472	892	equal
473	893	equal
474	894	equal
475	895	equal
476	896	equal
477	897	equal
478	898	equal
479	899	equal
480	900	equal
481	901	equal
482	902	equal
483	903	equal
484	904	equal
485	905	equal
486	906	equal
487	907	equal
488	908	equal
489	909	equal
490	910	equal
491	911	equal
492	912	equal
493	913	equal
494	914	equal
495	915	equal
496	916	equal
497	917	equal
498	918	equal
499	919	equal
500	920	equal
501	921	equal
502	922	equal
503	923	equal
504	924	equal
505	925	equal
506	926	equal
507	927	equal
508	928	equal
509	929	equal
510	930	equal
511	931	equal
512	932	equal
513	933	equal
514	934	equal
515	935	equal
516	936	equal
517	937	equal
518	938	equal
519	939	equal
520	940	equal
521	941	equal
522	942	equal
523	943	equal
524	944	equal
525	945	equal
526	946	equal
527	947	equal
528	948	equal
529	949	equal
530	950	equal
531	951	equal
532	952	equal
533	953	equal
534	954	equal
535	955	equal
536	956	equal
537	957	equal
538	958	equal
539	959	equal
540	960	equal
541	961	equal
542	962	equal
543	963	equal
544	964	equal
545	965	equal
546	966	equal
547	967	equal
548	968	equal
549	969	equal
550	970	equal
551	971	equal
552	972	equal
553	973	equal
554	974	equal
555	975	equal
556	976	equal
557	977	equal
558	978	equal
559	979	equal
560	980	equal
561	981	equal
562	982	equal
563	983	equal
564	984	equal
565	985	equal
566	986	equal
567	987	equal
568	988	equal
569	989	equal
570	990	equal
571	991	equal
572	992	equal
573	993	equal
574	994	equal
575	995	equal
576	996	equal
577	997	equal
578	998	equal
579	999	equal
580	1000	equal
581	1001	equal
582	1002	equal
583	1003	equal
584	1004	equal
585	1005	equal
586	1006	equal
587	1007	equal
588	1008	equal
589	1009	equal
590	1010	equal
591	1011	equal
592	1012	equal
593	1013	equal
594	1014	equal
595	1015	equal
596	1016	equal
597	1017	equal
598	1018	equal
599	1019	equal
600	1104	equal
601	1105	equal
602	1106	equal
603	1107	equal
604	1108	equal
605	1109	equal
606	1110	equal
607	1111	equal
608	1112	equal
609	1113	equal
610	1114	equal
611	1115	equal
612	1116	equal
613	1117	equal
614	1118	equal
615	1119	equal
616	1120	equal
617	1121	equal
618	1122	equal
619	1123	equal
620	1124	equal
621	1125	equal
622	1126	equal
623	1127	equal
624	1128	equal
625	1129	equal
626	1130	equal
627	1131	equal
628	1132	equal
629	1133	equal
630	1134	equal
631	1135	equal
632	1136	equal
633	1137	equal
634	1138	equal
635	1139	equal
636	1140	equal
637	1141	equal
638	1142	equal
639	1143	equal
640	1144	equal
641	1145	equal
642	1146	equal
643	1147	equal
644	1148	equal
645	1149	equal
646	1150	equal
647	1151	equal
648	1278	equal
649	1279	equal
650	1280	equal
651	1281	equal
652	1282	equal
653	1283	equal
654	1284	equal
655	1285	equal
656	1286	equal
657	1287	equal
658	1288	equal
659	1289	equal
660	1290	equal
661	1291	equal
662	1292	equal
663	1293	equal
664	1294	equal
665	1295	equal
666	1296	equal
667	1297	equal
668	1298	equal
669	1299	equal
670	1300	equal
671	1301	equal
672	1302	equal
673	1303	equal
674	1304	equal
675	1305	equal
676	1306	equal
677	1307	equal
678	1308	equal
679	1309	equal
680	1310	equal
681	1311	equal
682	1312	equal
683	1313	equal
684	1314	equal
685	1315	equal
686	1316	equal
687	1317	equal
688	1318	equal
689	1319	equal
690	1320	equal
691	1321	equal
692	1322	equal
693	1323	equal
694	1324	equal
695	1325	equal
696	1326	equal
697	1327	equal
698	1328	equal
699	1329	equal
700	1330	equal
701	1331	equal
702	1332	equal
703	1333	equal
704	1334	equal
705	1335	equal
706	1336	equal
707	1337	equal
708	1338	equal
709	1339	equal
710	1340	equal
711	1341	equal
712	1342	equal
713	1343	equal
714	1344	equal
715	1345	equal
716	1346	equal
717	1347	equal
718	1348	equal
719	1349	equal
720	1350	equal
721	1351	equal
722	1352	equal
723	1353	equal
724	1354	equal
725	1355	equal
726	1356	equal
727	1357	equal
728	1358	equal
729	1359	equal
730	1360	equal
731	1361	equal
732	1362	equal
733	1363	equal
734	1364	equal
735	1365	equal
736	1366	equal
737	1367	equal
738	1368	equal
739	1369	equal
740	1370	equal
741	1371	equal
742	1372	equal
743	1373	equal
744	1374	equal
745	1375	equal
746	1376	equal
747	1377	equal
748	1378	equal
749	1379	equal
750	1380	equal
751	1381	equal
752	1382	equal
753	1383	equal
754	1384	equal
755	1385	equal
756	1386	equal
757	1387	equal
758	1388	equal
759	1389	equal
760	1390	equal
761	1391	equal
762	1392	equal
763	1393	equal
764	1394	equal
765	1395	equal
766	1396	equal
767	1397	equal
768	1398	equal
769	1399	equal
770	1400	equal
771	1401	equal
772	1402	equal
773	1403	equal
774	1404	equal
775	1405	equal
776	1406	equal
777	1407	equal
778	1408	equal
779	1409	equal
780	1410	equal
781	1411	equal
782	1412	equal
783	1413	equal
784	1414	equal
785	1415	equal
786	1416	equal
787	1417	equal
788	1418	equal
789	1419	equal
790	1420	equal
791	1421	equal
792	1422	equal
793	1423	equal
794	1424	equal
795	1425	equal
796	1426	equal
797	1427	equal
798	1428	equal
799	1429	equal
800	1430	equal
801	1431	equal
802	1432	equal
803	1433	equal
804	1434	equal
805	1435	equal
806	1436	equal
807	1437	equal
808	1438	equal
809	1439	equal
810	1440	equal
811	1441	equal
812	1442	equal
813	1443	equal
814	1444	equal
815	1445	equal
816	1446	equal
817	1447	equal
818	1448	equal
819	1449	equal
820	1450	equal
821	1451	equal
822	1452	equal
823	1453	equal
824	1454	equal
825	1455	equal
826	1456	equal
827	1457	equal
828	1458	equal
829	1459	equal
830	1460	equal
831	1461	equal
832	1462	equal
833	1463	equal
834	1464	equal
835	1465	equal
836	1466	equal
837	1467	equal
838	1468	equal
839	1469	equal
840	1470	equal
841	1471	equal
842	1472	equal
843	1473	equal
844	1474	equal
845	1475	equal
846	1476	equal
847	1477	equal
848	1478	equal
849	1479	equal
850	1480	equal
851	1481	equal
852	1482	equal
853	1483	equal
854	1484	equal
855	1485	equal
856	1486	equal
857	1487	equal
858	1488	equal
859	1489	equal
860	1490	equal
861	1491	equal
862	1492	equal
863	1493	equal
864	1494	equal
865	1495	equal
866	1496	equal
867	1497	equal
868	1498	equal
