'CyclicBell.D4.targetBorn_eq_table' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.mixed_targetBorn_eq_table' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.target_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.alice_marginal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.bob_marginal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.target_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.target_le_three_thirtyseconds' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.target_01' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.guessing_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.target_not_uniform' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.wrong_state_normalization' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.target_measurement_package' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.IsFirstMaximizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.IsSecondMaximizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_is_maximizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_is_maximizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_behavior_table' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_behavior_table' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_target_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_target_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_even_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_odd_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_even_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_odd_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_target_maximum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_target_maximum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_target_normalization_and_marginals' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_target_normalization_and_marginals' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_nonuniform' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_nonuniform' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_trivialEve_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_trivialEve_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.witness_trivialEve_validity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_physical_Eve_bridge' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_physical_Eve_bridge' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.adjoined_witness_states_valid' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.trivialEve_purification' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.exists_first_nonuniform_maximizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.exists_second_nonuniform_maximizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.first_scalar_value_does_not_force_uniform' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.second_scalar_value_does_not_force_uniform' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.D4.main_d4_counterexamples' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.pCoefficients' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.qCoefficients' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.P' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.Q' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.F' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.G' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.rawTerm' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.reducedOperator' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.squareSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.M' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.M_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.P_expand' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.Q_expand' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.coefficient_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.coefficient_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.cross_factorization' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.p_coefficient_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.q_coefficient_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.P_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.Q_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.top_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.rotated_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.two_square_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.row_cross' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.right_energy_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.first_diagonal_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.second_diagonal_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.reduced_gap_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.augmented_gap_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.reduced_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstSOS.augmented_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.fourier4' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.fourth_root_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.fourth_root_orthogonality' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.fourier4_parseval' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.fourier4_unitary_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.rotated' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.rotated_unitary' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.cyclePoly' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.cyclePoly_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.cyclePoly_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.power_commute' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.cyclePoly_commute' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.commuting_right_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.fourth_root_power_orthogonality' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.pvm_fourier_reconstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.fourth_root_negative_exponent' depends on axioms: [propext, Classical.choice, Quot.sound]
