# source_k6_atoms=51 rank_five_labeled=2012 distinct_triangle_count_vectors=1782
6,6,6,6,0,2,6,5,6,2,3,3,6,2,1,6,2,3,2,1,6,0,0,0,0,0,4,7,7,7,7,8,11,11,11,17,19,20,20,20,20,24,24,24,24,33,39,40,40,49,49,50,50,50,50,50
6,6,6,6,0,2,6,5,6,2,1,3,6,2,1,6,2,4,2,3,6,0,0,0,0,0,4,7,7,7,7,9,11,11,13,17,19,20,20,20,20,24,24,27,27,37,39,40,40,49,49,50,50,50,50,50
2,4,3,4,6,6,6,2,6,0,6,1,4,2,6,4,6,1,2,6,2,0,0,0,0,0,4,7,7,7,7,9,11,12,14,17,18,20,20,27,27,27,27,27,27,30,30,35,40,41,46,46,46,46,50,50
6,6,6,6,0,2,6,5,6,2,4,3,6,2,4,6,2,1,2,1,6,0,0,0,0,0,4,7,7,7,7,9,13,14,14,17,19,20,20,20,20,27,27,27,27,39,40,40,43,49,49,50,50,50,50,50
6,4,2,2,6,2,4,2,2,6,2,2,5,6,1,6,0,6,2,4,2,0,0,0,0,0,5,5,7,7,13,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,26,26,29,29,43,46,46,46,50
6,4,2,2,6,4,4,2,2,6,4,2,5,6,4,6,0,2,2,1,6,0,0,0,0,0,5,5,7,7,13,18,18,18,18,18,20,20,20,20,20,20,26,26,29,29,41,41,43,43,46,46,46,46,46,50
6,4,2,2,6,4,4,2,2,6,6,2,5,6,3,6,0,2,2,1,6,0,0,0,0,0,5,7,7,7,10,17,18,18,18,20,20,20,20,20,20,20,26,26,29,29,35,37,40,43,46,46,46,46,50,50
2,4,3,4,6,6,6,2,6,0,2,1,4,2,2,4,6,4,2,2,6,0,0,0,0,0,5,7,7,9,12,17,18,18,18,20,20,20,20,20,25,27,27,27,27,27,27,27,27,35,37,40,41,46,46,50
2,4,3,4,6,4,6,2,6,0,6,1,4,2,4,4,6,2,2,4,2,0,0,0,0,0,5,7,7,9,12,17,18,18,18,20,20,22,25,27,27,27,27,27,27,27,27,35,40,41,41,41,41,46,46,46
2,4,3,4,6,4,6,2,6,0,6,1,4,2,4,4,6,2,2,6,2,0,0,0,0,0,5,7,7,9,12,17,18,18,20,20,20,22,27,27,27,27,27,27,27,27,27,35,40,41,41,43,43,46,46,50
2,4,3,4,6,6,6,2,6,0,2,1,4,2,2,4,6,4,2,4,6,0,0,0,0,0,5,7,7,9,12,17,18,18,20,20,20,25,27,27,27,27,27,27,27,27,27,35,37,40,41,41,43,46,46,50
6,4,2,2,6,2,4,2,2,6,4,2,5,6,1,6,0,6,2,3,2,0,0,0,0,0,5,7,7,10,12,17,17,18,18,20,20,20,20,20,20,20,20,22,26,26,27,27,27,29,29,40,43,46,46,50
4,4,2,2,6,4,4,2,3,6,5,2,4,6,6,6,0,2,2,1,6,0,0,0,0,0,5,7,7,10,14,18,18,18,18,19,20,20,20,22,24,24,25,27,27,35,41,42,43,45,46,46,46,46,49,50
6,4,2,2,6,6,4,2,2,6,6,2,5,6,2,6,0,2,2,1,6,0,0,0,0,0,6,7,7,7,7,16,18,18,20,20,20,20,20,20,20,20,26,26,27,27,29,29,30,43,46,46,50,50,50,50
2,4,3,4,6,2,6,2,6,0,6,1,4,2,2,4,6,5,2,6,2,0,0,0,0,0,6,7,7,9,12,16,17,18,18,20,20,20,23,27,27,27,27,27,27,27,27,29,29,30,35,40,41,45,46,50
6,4,2,2,6,4,4,2,2,6,4,2,5,6,1,6,0,6,2,2,2,0,0,0,0,0,6,7,7,12,12,16,18,18,18,18,20,20,20,20,20,20,26,26,27,27,27,27,29,29,30,43,43,46,46,50
2,4,3,4,6,1,6,2,6,0,6,1,4,2,3,4,6,4,2,4,2,0,0,0,0,0,7,7,7,7,9,9,9,9,12,12,17,17,18,18,27,27,27,27,27,27,27,27,35,35,40,40,41,41,46,46
2,4,3,4,6,1,6,2,6,0,6,1,4,2,3,4,6,5,2,4,2,0,0,0,0,0,7,7,7,7,9,9,10,10,12,12,17,17,18,18,27,27,27,27,27,27,29,29,35,35,40,40,41,42,46,46
2,4,3,4,6,1,6,2,6,0,6,1,4,2,3,4,6,5,2,6,2,0,0,0,0,0,7,7,7,7,9,9,10,10,12,14,17,17,18,20,27,27,27,27,27,27,29,29,35,37,40,40,41,45,46,50
2,4,3,4,6,1,6,2,6,0,6,1,4,2,3,4,6,6,2,6,2,0,0,0,0,0,7,7,7,7,9,9,11,11,12,14,17,17,18,20,27,27,27,27,27,27,30,30,35,37,40,40,41,46,46,50
2,4,3,4,6,2,6,2,6,0,6,1,4,2,6,4,6,2,2,2,2,0,0,0,0,0,7,7,7,9,12,16,17,17,18,18,18,20,20,20,20,20,27,27,27,27,27,27,27,27,30,35,40,41,46,50
2,4,3,4,6,2,6,2,6,0,6,1,4,2,6,4,6,2,2,4,2,0,0,0,0,0,7,7,7,9,12,17,17,18,18,20,20,20,20,20,25,25,27,27,27,27,27,27,27,35,40,41,43,46,46,50
2,4,3,4,6,6,6,2,6,0,2,1,4,2,2,4,6,6,2,4,6,0,0,0,0,0,7,7,7,9,12,17,18,20,20,20,20,25,27,27,27,27,27,27,27,27,27,35,40,40,41,43,43,46,50,50
2,4,3,4,6,6,6,2,6,0,2,1,4,2,2,4,6,6,2,6,6,0,0,0,0,0,7,7,7,9,12,17,18,20,20,20,20,27,27,27,27,27,27,27,27,30,30,35,40,40,41,46,46,46,50,50
2,4,3,4,6,6,6,2,6,0,2,1,4,2,6,4,6,3,2,2,6,0,0,0,0,0,7,7,9,11,12,17,17,18,20,20,20,22,27,27,27,27,27,27,27,27,30,30,34,35,40,40,41,46,46,50
