time,amplitude,minimum_concentration
0.0,0.3446969711859416,0.503016271702809
238.88888888888889,0.34470057443183766,0.5698340662875335
477.77777777777777,0.3451605255912796,0.5699118379650817
716.6666666666666,0.34560972047978394,0.5694437625688281
955.5555555555555,0.34604472078343046,0.5689840172131339
1194.4444444444443,0.3464658678796867,0.5685390217168742
1433.3333333333333,0.34687354350449773,0.5681084403736155
1672.2222222222222,0.34726812110721006,0.5676918618568239
1911.111111111111,0.347649971831018,0.5672888769196147
2150.0,0.3480194531317461,0.5668990945704898
2388.8888888888887,0.34837692757809147,0.5665221164811531
2627.777777777778,0.3487227361969668,0.5661575709013047
2866.6666666666665,0.34905722728072786,0.5658050768118292
3105.5555555555557,0.34938072689515776,0.5654642795092801
3344.4444444444443,0.34969356400411994,0.5651348208495734
3583.3333333333335,0.34999605759663976,0.5648163544072601
3822.222222222222,0.35028851851120396,0.5645085430778268
4061.111111111111,0.3505712500137105,0.564211058493385
4300.0,0.35084454854580316,0.5639235801141794
4538.888888888889,0.35110870324865134,0.5636457955644638
4777.777777777777,0.35136399601638685,0.563377400897386
5016.666666666667,0.3516107022413125,0.5631180993483834
5255.555555555556,0.35184908976524143,0.5628676028346531
5494.444444444444,0.3520794200022076,0.5626256303307381
5733.333333333333,0.35230194721920965,0.5623919089300132
5972.222222222222,0.3525169194501619,0.5621661723959318
6211.111111111111,0.3527245769226157,0.5619481637278355
6450.0,0.35292515324678553,0.5617376332137258
6688.888888888889,0.3531188774585951,0.5615343353248247
6927.777777777777,0.3533059707259179,0.5613380337733906
7166.666666666667,0.3534866466589658,0.5611485010360934
7405.555555555556,0.35366111340344597,0.5609655152980255
7644.444444444444,0.35382957763426537,0.5607888553279804
7883.333333333333,0.353992233371683,0.5606183151702633
8122.222222222222,0.3541492704024225,0.5604536930821844
8361.111111111111,0.3543008761172826,0.5602947895331357
8600.0,0.35444723184449867,0.5601414116396587
8838.888888888889,0.35458850949801113,0.5599933772196104
9077.777777777777,0.35472487681953657,0.5598505084557708
9316.666666666666,0.35485650234010774,0.559712626089968
9555.555555555555,0.35498354302198243,0.5595795640034564
9794.444444444443,0.35510615301899295,0.5594511588812418
10033.333333333334,0.3552244815304487,0.559327252785586
10272.222222222223,0.3553386729302045,0.55920769300296
10511.111111111111,0.35544886730903585,0.5590923313085988
10750.0,0.35555520018019904,0.5589810244102253
10988.888888888889,0.3556578031227121,0.558873633343533
11227.777777777777,0.35575680348871414,0.558770023637878
11466.666666666666,0.35585232436234404,0.5586700652960223
11705.555555555555,0.35594448506583143,0.5585736323693266
11944.444444444443,0.35603340054674243,0.5584806037096008
12183.333333333334,0.3561191824746842,0.5583908615578556
12422.222222222223,0.35620193893705004,0.5583042919648388
12661.111111111111,0.3562817744612737,0.5582207847834815
12900.0,0.35635878944437765,0.5581402343303378
13138.888888888889,0.35643308174330174,0.5580625375364044
13377.777777777777,0.3565047457354605,0.5579875950492043
13616.666666666666,0.3565738726395903,0.5579153108745367
13855.555555555555,0.356640550415987,0.5578455925465647
14094.444444444443,0.35670486436968235,0.5577783503158176
14333.333333333334,0.3567668968728986,0.5577134975676642
14572.222222222223,0.3568267274817986,0.5576509506881216
14811.111111111111,0.3568844329711891,0.5575906290446186
15050.0,0.3569400877586629,0.5575324544311147
15288.888888888889,0.35699376372069114,0.5574763513495441
15527.777777777777,0.35704552983761134,0.5574222473953525
15766.666666666666,0.3570954528801168,0.5573700724877259
16005.555555555555,0.3571435979238666,0.557319758293601
16244.444444444443,0.3571900276373012,0.5572712390348046
16483.333333333332,0.35723480265646895,0.5572244510696621
16722.222222222223,0.35727798150615014,0.557179332988004
16961.11111111111,0.3573196184746689,0.557135828035541
17200.0,0.357359769244363,0.557093877709777
17438.888888888887,0.3573984864971145,0.5570534267675682
17677.777777777777,0.3574358212115971,0.5570144217536498
17916.666666666668,0.3574718227463057,0.5569768109113438
18155.555555555555,0.35750653710472546,0.5569405461113721
18394.444444444445,0.35754000939897573,0.5569055801197081
18633.333333333332,0.357572284556784,0.5568718658156114
18872.222222222223,0.35760340525446777,0.5568393584892171
19111.11111111111,0.35763341278379085,0.556808014882071
19350.0,0.35766234683965814,0.5567777934204426
19588.888888888887,0.3576902435968781,0.5567486563161109
19827.777777777777,0.357717141171209,0.5567205636072263
20066.666666666668,0.3577430752137083,0.5566934779686432
20305.555555555555,0.357768080194039,0.5566673633127786
20544.444444444445,0.3577921894591212,0.5566421847271689
20783.333333333332,0.3578154340391655,0.5566179097784274
21022.222222222223,0.3578378445591525,0.5565945064286831
21261.11111111111,0.35785945124977986,0.5565719430251795
21500.0,0.35788028289911955,0.556550189445378
21738.888888888887,0.35790036735239816,0.5565292165533237
21977.777777777777,0.35791973130967025,0.5565089964197171
22216.666666666668,0.35793839929416926,0.5564895034395113
22455.555555555555,0.3579563969565986,0.5564707107569927
22694.444444444445,0.35797374834836904,0.5564525932178935
22933.333333333332,0.35799047673434503,0.5564351264909109
23172.222222222223,0.35800660463591105,0.5564182870222131
23411.11111111111,0.3580221529557377,0.5564020529726406
23650.0,0.3580371423676053,0.5563864027309938
23888.888888888887,0.3580515931701977,0.5563713150710777
24127.777777777777,0.3580655247309319,0.5563567697474695
24366.666666666668,0.3580789557699991,0.5563427471921396
24605.555555555555,0.3580919036507619,0.5563292292579994
24844.444444444445,0.3581043859737538,0.5563161975481731
25083.333333333332,0.35811641944857125,0.5563036345981541
25322.222222222223,0.35812802020819634,0.5562915235462331
25561.11111111111,0.3581392037485239,0.5562798481992945
25800.0,0.3581499847806908,0.556268593192259
26038.888888888887,0.35816037790464195,0.5562577432642997
26277.777777777777,0.35817039707395903,0.5562472838350363
26516.666666666668,0.35818005577588446,0.5562372008115485
26755.555555555555,0.3581893668140089,0.5562274808192588
26994.444444444445,0.3581983425558843,0.5562181109394266
27233.333333333332,0.35820699519191673,0.5562090784346746
27472.222222222223,0.35821533638741554,0.5562003711185064
27711.11111111111,0.3582233774259765,0.5561919772034126
27950.0,0.35823112877653296,0.5561838857553508
28188.888888888887,0.35823860095110927,0.556176085793384
28427.777777777777,0.358245804071347,0.5561685667447118
28666.666666666668,0.3582527478678644,0.5561613184453578
28905.555555555555,0.35825944170740504,0.556154331111817
29144.444444444445,0.3582658942731788,0.5561475956775874
29383.333333333332,0.3582721144263135,0.5561411028864963
29622.222222222223,0.35827811055127157,0.5561348439817653
29861.11111111111,0.3582838907482163,0.5561288105035997
30100.0,0.35828946272063633,0.5561229944076126
30338.888888888887,0.3582948338109809,0.556117388027372
30577.777777777777,0.35830001137124107,0.5561119836841999
30816.666666666668,0.3583050023907131,0.5561067740792691
31055.555555555555,0.3583098136258521,0.5561017521569265
31294.444444444445,0.3583144515463972,0.5560969111614161
31533.333333333332,0.35831892214984024,0.5560922448320865
31772.222222222223,0.3583232316229105,0.5560877467076837
32011.11111111111,0.3583273857943941,0.5560834107019484
32250.0,0.35833139030149613,0.556079230928692
32488.888888888887,0.35833525059452426,0.5560752016969067
32727.777777777777,0.3583389715437726,0.5560713179229828
32966.666666666664,0.35834255835993956,0.5560675741656455
33205.555555555555,0.35834601589717,0.5560639653567596
33444.444444444445,0.3583493488490262,0.5560604865958688
33683.333333333336,0.3583525617576398,0.5560571331406232
33922.22222222222,0.35835565874234826,0.5560539006911143
34161.11111111111,0.35835864403540446,0.556050784828602
34400.0,0.35836152171483066,0.5560477812954335
34638.88888888889,0.35836429568187467,0.5560448860186756
34877.777777777774,0.3583669697095674,0.556042095059257
35116.666666666664,0.3583695473033758,0.556039404757955
35355.555555555555,0.35837203189980243,0.5560368115273647
35594.444444444445,0.3583744269159268,0.556034311800016
35833.333333333336,0.35837673559545974,0.5560319021896534
36072.22222222222,0.35837896107463174,0.5560295794222292
36311.11111111111,0.3583811063166537,0.5560273404045263
36550.0,0.35838317413188797,0.5560251822030519
36788.88888888889,0.35838516737974707,0.5560231018326762
37027.777777777774,0.3583870887604194,0.5560210964746888
37266.666666666664,0.35838894088494316,0.5560191634034449
37505.555555555555,0.35839072623410595,0.5560173000293629
37744.444444444445,0.3583924470538861,0.5560155040082904
37983.333333333336,0.35839410578646924,0.5560137727906845
38222.22222222222,0.35839570468375687,0.5560121040258718
38461.11111111111,0.3583972459258994,0.5560104954380709
38700.0,0.3583987316259221,0.5560089448215609
38938.88888888889,0.3584001638343528,0.5560074500358447
39177.777777777774,0.3584015442247142,0.5560060093346944
39416.666666666664,0.3584028747584536,0.5560046206705049
39655.555555555555,0.3584041572939159,0.5560032821033963
39894.444444444445,0.358405393585724,0.5560019918018652
40133.333333333336,0.3584065853353186,0.5560007479899173
40372.22222222222,0.35840773419469885,0.5559995489431597
40611.11111111111,0.35840884161772196,0.555998393144212
40850.0,0.3584099089549882,0.5559972791835408
41088.88888888889,0.3584109377963855,0.5559962054014688
41327.777777777774,0.35841192954496787,0.5559951703335164
41566.666666666664,0.358412885559338,0.5559941725616016
41805.555555555555,0.35841380715648835,0.5559932107110707
42044.444444444445,0.35841469560979866,0.5559922834527936
42283.333333333336,0.35841555200612674,0.5559913896525117
42522.22222222222,0.3584163775483265,0.555990528054696
42761.11111111111,0.3584171733372405,0.5559896975103749
43000.0,0.3584179404276733,0.5559888969186417
