x,X1,X2,X3,Z
0.0,1.2149274817562408,0.7566360936407907,0.9576871575006075,1.0738481352114417
0.01227184630308513,1.214912895296939,0.7566503313917359,0.9576904331076861,1.073843720840861
0.02454369260617026,1.2148691383035901,0.7566930444685198,0.9577002594173427,1.0738304781624355
0.03681553890925539,1.2147962179294598,0.7567642323423,0.9577166348948677,1.0738084084761739
0.04908738521234052,1.214694146095305,0.7568638941293793,0.9577395569825011,1.0737775139489747
0.06135923151542565,1.2145629394873507,0.7569920285877673,0.9577690220995679,1.0737377976149447
0.07363107781851078,1.2144026195544548,0.7571486341123659,0.9578050256426677,1.073689263375851
0.0859029241215959,1.2142132125044582,0.7573337087287785,0.9578475619859196,1.0736319160016956
0.09817477042468103,1.213994749299734,0.7575472500857475,0.9578966244812622,1.073565761131422
0.11044661672776616,1.2137472656519177,0.7577892554462128,0.9579522054588124,1.0734908052737464
0.1227184630308513,1.2134708020158356,0.7580597216770016,0.9580142962272784,1.0734070558081104
0.1349903093339364,1.2131654035826174,0.758358645237139,0.9580828870744356,1.073314520985765
0.14726215563702155,1.2128311202720041,0.7586860221647898,0.9581579672676583,1.0732132099309748
0.1595340019401067,1.2124680067238451,0.7590418480628284,0.9582395250545196,1.0731031326423401
0.1718058482431918,1.212076122288787,0.7594261180830312,0.9583275476634453,1.0729842999942474
0.18407769454627693,1.2116555310181556,0.7598388269089077,0.958422021304444,1.072856723738432
0.19634954084936207,1.2112063016530268,0.7602799687371535,0.958522931169894,1.0727204165056634
0.2086213871524472,1.210728507612494,0.7607495372577434,0.9586302614354063,1.0725753918075411
0.22089323345553233,1.2102222269811254,0.761247525632649,0.9587439952607565,1.0724216640384088
0.23316507975861744,1.209687542495619,0.7617739264731972,0.9588641147908892,1.0722592484773752
0.2454369260617026,1.2091245415306477,0.7623287318160631,0.958990601157002,1.07208816129045
0.25770877236478773,1.2085333160839011,0.7629119330978993,0.9591234344777044,1.0719084195327804
0.2699806186678728,1.2079139627603208,0.7635235211286083,0.9592625938602624,1.0717200411509973
0.28225246497095796,1.207266582755541,0.7641634860632541,0.9594080574019234,1.07152304498566
0.2945243112740431,1.2065912818385112,0.7648318173726205,0.9595598021913324,1.0713174507738017
0.30679615757712825,1.2058881703333297,0.7655285038124163,0.9597178043100382,1.0711032791515698
0.3190680038802134,1.205157363100271,0.766253533391131,0.9598820388340908,1.070880551656961
0.3313398501832985,1.2043989795160124,0.7670068933365441,0.9600524798357412,1.0706492907326466
0.3436116964863836,1.2036131434530644,0.7677885700608904,0.9602291003852361,1.07040951972888
0.35588354278946877,1.202799983258402,0.7685985491246888,0.9604118725527245,1.0701612629064943
0.36815538909255385,1.201959631731299,0.7694368151992338,0.9606007674102659,1.0699045454399763
0.380427235395639,1.2010922261003691,0.7703033520277572,0.9607957550339544,1.069639393420616
0.39269908169872414,1.2001979079998095,0.7711981423852661,0.9609968045061588,1.0693658338597296
0.4049709280018093,1.199276823444859,0.772121168037057,0.9612038839178821,1.0690838946919499
0.4172427743048944,1.198329122806461,0.7730724096959196,0.9614169603712447,1.068793604778585
0.4295146206079795,1.1973549607851348,0.7740518469780296,0.9616359999820979,1.0684949939110315
0.44178646691106466,1.19635449638407,0.7750594583575408,0.9618609678827695,1.0681880928142464
0.4540583132141498,1.195327892881427,0.7760952211198819,0.962091828224946,1.0678729331502717
0.4663301595172349,1.1942753178018581,0.7771591113137662,0.9623285441826968,1.0675495475218062
0.47860200582032003,1.1931969428872502,0.778251103701923,0.9625710779556458,1.067217969475817
0.4908738521234052,1.192092944066686,0.77937117171056,0.9628193907722927,1.0668782335071891
0.5031456984264903,1.1909635014256332,0.7805192873775607,0.9630734428934893,1.0665303750624113
0.5154175447295755,1.1898087991743576,0.7816954212994364,0.9633331936160762,1.0661744305432856
0.5276893910326605,1.1886290256155683,0.7828995425770319,0.9635986012766865,1.0658104373106638
0.5399612373357456,1.187424373111297,0.7841316187600075,0.9638696232557153,1.0654384336881932
0.5522330836388308,1.1861950380490085,0.7853916157900989,0.9641462159814662,1.0650584589660868
0.5645049299419159,1.1849412208069594,0.7866794979431767,0.9644283349344765,1.0646705534048875
0.5767767762450011,1.18366312571879,0.787995227770111,0.9647159346520262,1.064274758239243
0.5890486225480862,1.1823609610373695,0.7893387660364614,0.9650089687328347,1.0638711156816691
0.6013204688511713,1.1810349388978898,0.7907100716610025,0.9653073898419547,1.06345966892631
0.6135923151542565,1.1796852752802132,0.792109101653107,0.9656111497158594,1.0630404621526723
0.6258641614573416,1.1783121899704785,0.7935358110489942,0.9659201991677386,1.0626135405293495
0.6381360077604268,1.1769159065219725,0.7949901528468699,0.9662344880929987,1.062178950217704
0.6504078540635119,1.1754966522152672,0.7964720779409732,0.966553965474978,1.0617367383755285
0.662679700366597,1.17405465801763,0.7979815350545455,0.966878579390877,1.0612869531606575
0.6749515466696822,1.1725901585417131,0.7995184706717504,0.9672082770179166,1.0608296437345344
0.6872233929727672,1.1711033920035245,0.8010828289685575,0.9675430046397162,1.0603648602657265
0.6994952392758523,1.1695946001796855,0.8026745517426201,0.9678827076529077,1.0598926539333784
0.7117670855789375,1.1680640283639894,0.804293578342163,0.968227330573987,1.0594130769306005
0.7240389318820226,1.1665119253232517,0.8059398455939132,0.9685768170464011,1.058926182467782
0.7363107781851077,1.1649385432524753,0.8076132877300903,0.9689311098478831,1.0584320247758292
0.7485826244881929,1.1633441377293188,0.8093138363144915,0.9692901508980383,1.0579306591093067
0.760854470791278,1.1617289676678972,0.8110414201676948,0.969653881266179,1.0574221417495004
0.7731263170943632,1.1600932952718979,0.8127959652914108,0.9700222411794219,1.0569065300073641
0.7853981633974483,1.1584373859870352,0.8145773947920126,0.9703951700310409,1.056383882226371
0.7976700097005334,1.1567615084528504,0.8163856288032801,0.9707726063890904,1.0558542577852434
0.8099418560036186,1.1550659344538536,0.8182205844083835,0.9711544880052952,1.0553177171005652
0.8222137023067037,1.153350938870029,0.820082175561149,0.971540751824212,1.0547743216292618
0.8344855486097889,1.1516167996267026,0.8219703130066379,0.9719313339926668,1.0542241338709495
