x,X1,X2,X3,X4,X5,Z
0.0,1.3288227983069678,0.6627140359374087,0.663354839020482,0.6639989691138786,0.937967164822721,1.1100927862581702
0.01227184630308513,1.3288012196626575,0.6627315612921907,0.6633723905606275,0.6640165466775666,0.9379719442957787,1.110086759731525
0.02454369260617026,1.3287364872796574,0.6627841382353771,0.6634250460453575,0.6640692802179531,0.9379862820388827,1.1100686805872422
0.03681553890925539,1.3286286118072277,0.6628717694025222,0.6635128080665709,0.6641571722820058,0.9380101760237549,1.110038550132461
0.04908738521234052,1.3284776109923642,0.6629944591830007,0.6636356809408244,0.6642802271113377,0.9380436228696977,1.1099963705463456
0.06135923151542565,1.3282835096771433,0.6631522137151749,0.6637936707044161,0.6644384506372044,0.9380866178432423,1.1099421448809756
0.07363107781851078,1.3280463397949993,0.6633450408796335,0.6639867851065016,0.6646318504734994,0.9381391548576584,1.1098758770625998
0.0859029241215959,1.3277661403659435,0.6635729502904905,0.6642150336002383,0.6648604359077407,0.9382012264723254,1.1097975718932445
0.09817477042468103,1.3274429574907138,0.6638359532847384,0.6644784273319522,0.665124217890047,0.9382728238919698,1.1097072350526764
0.11044661672776616,1.3270768443438592,0.6641340629096617,0.6647769791283213,0.6654232090200981,0.938353936965764,1.1096048731007206
0.1227184630308513,1.3266678611657583,0.6644672939082888,0.6651107034815773,0.6657574235320732,0.9384445541863005,1.1094904934799301
0.1349903093339364,1.326216075253568,0.6648356627028912,0.6654796165327072,0.6661268772775613,0.93854466268843,1.1093641045186107
0.14726215563702155,1.325721560951103,0.6652391873765117,0.6658837360526574,0.6665315877064351,0.9386542482479802,1.1092257154341927
0.1595340019401067,1.3251843996376378,0.6656778876525169,0.6663230814215265,0.6669715738456815,0.9387732952803496,1.1090753363369519
0.1718058482431918,1.3246046797156428,0.6661517848721664,0.6667976736057386,0.6674468562761784,0.9389017868389841,1.1089129782340756
0.18407769454627693,1.3239824965974367,0.6666609019701835,0.6673075351331877,0.6679574571074074,0.9390397046137439,1.1087386530340722
0.19634954084936207,1.3233179526907615,0.6672052634483231,0.6678526900663422,0.6685033999500937,0.9391870289291544,1.1085523735515261
0.2086213871524472,1.3226111573832777,0.6677848953469171,0.6684331639732968,0.669084709886761,0.9393437387425634,1.1083541535121848
0.22089323345553233,1.3218622270259732,0.6683998252143917,0.6690489838967606,0.6697014134401861,0.9395098116421927,1.108144007558385
0.23316507975861744,1.3210712849154866,0.6690500820747418,0.6697001783209688,0.6703535385397462,0.939685223845102,1.1079219512548122
0.2454369260617026,1.3202384612753364,0.6697356963929431,0.6703867771365002,0.6710411144856377,0.9398699501950675,1.1076880010945855
0.25770877236478773,1.3193638932360623,0.6704567000382943,0.6711088116029921,0.6717641719109613,0.9400639641603789,1.107442174505674
0.2699806186678728,1.318447724814267,0.6712131262456698,0.6718663143097323,0.6725227427416485,0.9402672378315685,1.1071844898576264
0.28225246497095796,1.3174901068905551,0.6720050095746682,0.6726593191341145,0.6733168601542228,0.9404797419190727,1.1069149664686273
0.2945243112740431,1.316491197186371,0.6728323858666393,0.6734878611979407,0.6741465585313731,0.9407014457508392,1.1066336246128623
0.30679615757712825,1.3154511602397327,0.6736952921995715,0.674351976821553,0.6750118734153261,0.9409323172698856,1.1063404855281918
0.3190680038802134,1.3143701673798476,0.6745937668408247,0.6752517034757757,0.6759128414589988,0.9411723230318157,1.1060355714241306
0.3313398501832985,1.313248396700617,0.6755278491976867,0.6761870797316553,0.6768495003749143,0.9414214282023106,1.105718905490127
0.3436116964863836,1.3120860330330208,0.6764975797657355,0.6771581452079717,0.6778218888818635,0.941679596554591,1.1053905119041394
0.35588354278946877,1.3108832679163813,0.6775030000749904,0.6781649405165081,0.6788300466492927,0.9419467904668735,1.1050504158414922
0.36815538909255385,1.3096402995684973,0.6785441526338278,0.6792075072050586,0.6798740142393965,0.9422229709198207,1.1046986434840276
0.380427235395639,1.308357332854648,0.6796210808706449,0.680285887698151,0.6809538330469039,0.9425080974940029,1.1043352220295268
0.39269908169872414,1.3070345792554618,0.6807338290732509,0.6814001252354703,0.6820695452365308,0.9428021283673749,1.1039601797014056
0.4049709280018093,1.3056722568336472,0.6818824423259612,0.6825502638079562,0.6832211936780818,0.9431050203127858,1.103573545758675
0.4172427743048944,1.3042705901995761,0.6830669664443794,0.6837363480915606,0.6844088218791837,0.9434167286955291,1.103175350506161
0.4295146206079795,1.3028298104757265,0.6842874479078407,0.6849584233786397,0.6856324739156283,0.9437372074709444,1.102765625304975
0.44178646691106466,1.3013501552599631,0.6855439337894986,0.6862165355069646,0.6868921943593048,0.9440664091820844,1.1023444025832283
0.4540583132141498,1.2998318685876737,0.6868364716840324,0.6875107307863223,0.6881880282037063,0.9444042849574602,1.101911715846989
0.4663301595172349,1.298275200892738,0.6881651096329537,0.6888410559226987,0.689520020786981,0.9447507845088751,1.1014675996914653
