m,mu,comparison,base_modes,refined_modes,base_amplitude,refined_amplitude,relative_difference,base_rtol,refined_rtol
3,0.02,spatial,16.0,32.0,0.3724116177478588,0.3724116182094096,1.239356601710084e-09,,
3,0.02,temporal_tolerance,,,0.3724116177478588,0.37241162143427653,9.898771989005686e-09,2e-08,5e-10
5,0.02,spatial,16.0,32.0,0.3609932075684619,0.36099320607198365,4.14544719806565e-09,,
5,0.02,temporal_tolerance,,,0.3609932075684619,0.3609932123796327,1.3327593511742136e-08,2e-08,5e-10
8,0.02,spatial,16.0,32.0,0.35841794110031283,0.3584179394124376,4.7092375767803824e-09,,
8,0.02,temporal_tolerance,,,0.35841794110031283,0.3584179461522276,1.4095038570570294e-08,2e-08,5e-10
