source_index	target_index	relation
83	16100	strict
83	16334	strict
83	16335	strict
83	16345	strict
83	16346	strict
83	16349	strict
84	833	equal
84	16100	strict
84	16349	strict
85	834	equal
85	835	strict
85	1277	strict
85	2335	strict
85	6964	strict
85	6965	strict
85	8504	strict
85	15260	strict
85	15263	strict
85	15331	strict
85	15345	strict
85	15346	strict
85	15360	strict
85	15361	strict
85	15364	strict
85	16328	strict
86	835	equal
86	15331	strict
86	15364	strict
87	836	equal
87	837	strict
87	1282	strict
87	2300	strict
87	2343	strict
87	2440	strict
87	2685	strict
87	2768	strict
87	2769	strict
87	2774	strict
87	2775	strict
87	2778	strict
87	6611	strict
87	7426	strict
87	8510	strict
87	10927	strict
88	837	equal
88	2685	strict
88	2778	strict
89	838	equal
89	839	strict
89	1287	strict
89	2302	strict
89	2344	strict
89	2347	strict
89	2402	strict
89	2443	strict
89	2500	strict
89	2503	strict
89	2505	strict
89	2507	strict
89	6612	strict
89	7427	strict
89	7429	strict
89	10929	strict
90	839	equal
90	2500	strict
90	2507	strict
91	840	equal
91	841	strict
91	876	strict
91	892	strict
91	895	strict
91	901	strict
91	1289	strict
91	1312	strict
91	2359	strict
91	8561	strict
91	12897	strict
91	12914	strict
91	12915	strict
91	12929	strict
91	12930	strict
91	12933	strict
92	841	equal
92	12897	strict
92	12933	strict
93	842	equal
93	843	strict
93	880	strict
93	893	strict
93	897	strict
93	906	strict
93	1294	strict
93	1315	strict
93	2364	strict
93	2367	strict
93	2548	strict
93	2551	strict
93	2553	strict
93	2555	strict
93	6616	strict
93	10963	strict
94	843	equal
94	2548	strict
94	2555	strict
95	844	equal
95	875	strict
95	1076	strict
95	1078	strict
95	1473	strict
95	1474	strict
95	1476	strict
95	1477	strict
95	2306	strict
95	12679	strict
95	12680	strict
95	12683	strict
95	16111	strict
95	16247	strict
95	16253	strict
95	16254	strict
95	16257	strict
96	845	equal
96	876	strict
96	877	strict
96	888	strict
96	899	strict
96	900	strict
96	1312	strict
96	1478	strict
96	2307	strict
96	12681	strict
96	12682	strict
96	12684	strict
96	12898	strict
96	12914	strict
96	12929	strict
96	12930	strict
96	12933	strict
97	846	equal
97	879	strict
97	1079	strict
97	1081	strict
97	1485	strict
97	1486	strict
97	1489	strict
97	1490	strict
97	2308	strict
97	2309	strict
97	2448	strict
97	2687	strict
97	2709	strict
97	2713	strict
97	2715	strict
97	2717	strict
97	10938	strict
98	847	equal
98	880	strict
98	881	strict
98	889	strict
98	904	strict
98	905	strict
98	1315	strict
98	1491	strict
98	2310	strict
98	2311	strict
98	2364	strict
98	2449	strict
98	2549	strict
98	2551	strict
98	2553	strict
98	2555	strict
98	10940	strict
99	848	equal
99	850	strict
99	852	strict
99	857	strict
99	858	strict
99	1669	strict
99	1672	strict
99	1718	strict
99	3870	strict
99	3992	strict
99	3994	strict
99	4012	strict
99	4013	strict
99	4027	strict
99	13227	strict
100	849	equal
100	851	strict
100	853	strict
100	862	strict
100	863	strict
100	1670	strict
100	1674	strict
100	1720	strict
100	3819	strict
100	11219	strict
100	11221	strict
100	12408	strict
100	13251	strict
100	13252	strict
100	13266	strict
101	850	equal
101	852	strict
101	858	strict
101	3870	strict
101	4027	strict
102	851	equal
102	853	strict
102	863	strict
102	12408	strict
102	13266	strict
103	854	equal
103	856	strict
103	858	strict
103	1617	strict
103	1619	strict
103	13225	strict
104	858	equal
105	859	equal
105	861	strict
105	863	strict
105	1618	strict
105	1620	strict
105	3764	strict
106	863	equal
107	864	equal
107	888	strict
107	890	strict
107	1427	strict
107	2034	strict
107	2036	strict
107	2072	strict
108	865	equal
108	866	strict
108	867	strict
108	870	strict
108	872	strict
108	2044	strict
108	2048	strict
108	2050	strict
108	3856	strict
108	5903	strict
108	5906	strict
108	6098	strict
108	6443	strict
108	6444	strict
108	6453	strict
109	866	equal
109	867	strict
109	872	strict
109	6098	strict
109	6453	strict
110	868	equal
110	871	strict
110	872	strict
110	2046	strict
110	2052	strict
110	3762	strict
111	872	equal
112	873	equal
112	889	strict
112	891	strict
112	1432	strict
112	2064	strict
112	2066	strict
112	2070	strict
113	874	equal
113	12933	strict
114	875	equal
115	876	equal
115	1312	strict
115	12914	strict
115	12929	strict
115	12930	strict
115	12933	strict
116	877	equal
116	12933	strict
117	878	equal
117	2555	strict
118	879	equal
119	880	equal
119	1315	strict
119	2364	strict
119	2551	strict
119	2553	strict
119	2555	strict
120	881	equal
