x,X1,X2,X3,X4,X5,X6,X7,X8,Z
0.0,1.7839838604683713,0.42830711790569603,0.42856653105838544,0.42882689176803873,0.42908820556689026,0.42935047802480075,0.42961371474940646,0.8738603306098957,1.2397894689776998
0.01227184630308513,1.7839383774523925,0.4283268296672076,0.42858627836451363,0.4288466747726369,0.42910802442434903,0.42937033289003784,0.4296336057778561,0.8738692750647119,1.2397798176815384
0.02454369260617026,1.7838019353164634,0.42838596934453055,0.42864552468730865,0.42890602820245316,0.4291674854243458,0.42942990192495417,0.42969328331397744,0.8738961078999271,1.2397508636681405
0.03681553890925539,1.783574554796371,0.4284845501163063,0.4287442832402689,0.42900496530581084,0.42926660184999177,0.42952919844740456,0.42979276071031886,0.8739408275271511,1.239702606563284
0.04908738521234052,1.7832562704509856,0.42862259394785035,0.428882576046777,0.4291435081641064,0.4294053958406324,0.42966824465460973,0.4299320602218913,0.8740034312967636,1.2396350457450143
0.06135923151542565,1.782847130661094,0.42880013159251884,0.4290604339414236,0.4293216876930878,0.42958389839308225,0.4298470716243442,0.4301112130073087,0.8740839154944597,1.23954818034626
0.07363107781851078,1.7823471976277625,0.4290172025936035,0.42927789657184456,0.4295395436446316,0.4298021493633373,0.43006571931658366,0.4303302591303661,0.8741822753364141,1.2394420092585057
0.0859029241215959,1.7817565473702202,0.42927385528674794,0.4295350124010585,0.4297971246090012,0.43006019746875185,0.4303242365755973,0.43058924756204664,0.8742985049630635,1.2393165311365109
0.09817477042468103,1.781075269723259,0.4295701468028624,0.4298318387102897,0.4300944880175711,0.4303581002906626,0.43062268113246605,0.43088823618293187,0.8744325974315115,1.2391717444040822
0.11044661672776616,1.7803034683341399,0.4299061430715181,0.4301684416022474,0.4304317001459923,0.4306959242774329,0.43096111960800537,0.43122729178599456,0.8745845447065498,1.239007647260902
0.1227184630308513,1.7794412606589933,0.43028191882479305,0.43054489600484336,0.4308088361177724,0.4310737447478934,0.43133962751606003,0.4316064900797457,0.8747543376503056,1.2388242376904106
0.1349903093339364,1.7784887779587082,0.43069755760154227,0.4309612856753106,0.43122597990824035,0.43149164589514727,0.4317582892671434,0.4320259156917036,0.8749419660105067,1.238621513468757
0.14726215563702155,1.7774461652942835,0.4311531517520553,0.4314177032046914,0.4316832243488594,0.4319497207907017,0.43221719817238313,0.4324856621721448,0.8751474184073773,1.2383994721748013
0.1595340019401067,1.7763135815216418,0.4316488024430655,0.43191425002265704,0.43218067113185027,0.43244807138888747,0.4327164564477308,0.4329858319980982,0.8753706823191509,1.238158111201197
0.1718058482431918,1.7750911992858778,0.4321846196630657,0.4324510364026126,0.4327184308150771,0.4329868085315218,0.433256175218392,0.4335265365775354,0.8756117440662191,1.2378974277665342
0.18407769454627693,1.7737792050149248,0.43276072222788664,0.4330281814670418,0.4332966228271533,0.43356605195276327,0.4338364745234247,0.4341078962537046,0.875870588793904,1.2376174189285662
0.19634954084936207,1.7723777989126277,0.433377237786486,0.4336458131930406,0.43391537547270964,0.4341859302841085,0.43445748332045486,0.4347300403095538,0.8761472004538658,1.2373180815985128
0.2086213871524472,1.7708871949511837,0.4340343028268921,0.4343040684179806,0.43457482593776936,0.43484658105946866,0.43511933949044496,0.43539310697218414,0.8764415617841446,1.2369994125564496
0.22089323345553233,1.7693076208629446,0.43473206268224196,0.4350030928452434,0.43527512029516735,0.43554815072026537,0.4358221898424546,0.4360972434172635,0.8767536542878369,1.2366614084677898
0.23316507975861744,1.767639318131548,0.4354706715368525,0.4357430410499601,0.4360164135099503,0.4362907946204758,0.43656619011832304,0.43684260577333606,0.8770834582104188,1.2363040659008602
0.2454369260617026,1.7658825419823494,0.436250292432252,0.4365240764846857,0.43679886944467905,0.43707467703155756,0.43735150499720177,0.4376293591259469,0.8774309525157095,1.2359273813455802
0.25770877236478773,1.7640375613721317,0.4370710972731011,0.43734637148493277,0.4376226608645653,0.437899971147172,0.43817830809985225,0.438457677521506,0.8777961148604855,1.2355313512332529
0.2699806186678728,1.762104658978057,0.4379332668329242,0.4382101072744862,0.4384879694423566,0.43876685908762664,0.439046781992632,0.4393277439708022,0.8781789215677512,1.2351159719574636
0.28225246497095796,1.7600841311858342,0.43883699075956656,0.4391154739704131,0.43939498576288366,0.43967553190394637,0.43995711819107697,0.440239750452079,0.8785793475986655,1.2346812398961098
