canonical_graph6,n,m,origin_count,gamma,alpha,earliest_forced_rank,latest_forced_rank,full_kernel_deletion_depth
KtZB|ZoUW^a~,12,39,4,2,3,,,
Ktw?}ld\H^ju,12,38,4,2,3,,,
Ku?o|vmQzYnb,12,38,4,3,3,3,4,4
Ku?r|rkRWzlZ,12,38,4,3,3,3,4,4
Ku@p|riRWvlj,12,38,4,3,3,3,4,4
KuC@|zmRZklj,12,38,4,3,4,,,
KuDoLviQx|ly,12,38,4,3,4,,,
KuKALnm^?~ly,12,38,4,3,3,2,4,4
KuOoLvmYo~nq,12,38,4,3,4,,,
KuY~?\N]Pfa~,12,39,4,2,3,,,
Ku[OLneYp|h},12,38,4,3,3,3,4,4
Kufb`O~TtUhn,12,38,4,2,3,,,
Kuhc~HwRxnB^,12,39,2,2,3,,,
Kuhe\hwFzNB^,12,39,2,3,3,3,5,5
Kuk?~LsZHnh},12,38,2,2,3,,,
KunDJ?^Fzell,12,38,1,2,3,,,
Kv?P|ZNYjYjj,12,38,4,2,4,,,
KvCBLZNVP|ly,12,38,4,2,4,,,
KvFLR@ZNS^k},12,38,2,3,4,,,
KvK?|NNZImlj,12,38,4,2,3,,,
KvLOLNJYg~ly,12,38,4,2,3,,,
KvYAxzLj_nk^,12,39,2,3,4,,,
KvYmG\jVPfa~,12,39,4,2,3,,,
KvqbYkyF[Zk^,12,39,2,2,4,,,
Kvqb_XVMs^lm,12,38,2,2,3,,,
KwGisj^mqmnh,12,38,4,2,3,,,
KwGjsutvQnJf,12,38,4,2,3,,,
KwHA{i~upynh,12,38,4,3,4,,,
KwHQ[i~upunh,12,38,4,3,3,2,4,4
KwHQ[yvuptnh,12,38,4,3,3,2,3,3
KwHRSutvP|j{,12,38,4,2,3,,,
KwHR[m|uPujf,12,38,4,2,3,,,
KwHR[}tuPtjf,12,38,4,2,3,,,
KwHZSf\nQmf\,12,38,4,2,3,,,
KwOb{~TmQxff,12,38,2,3,4,,,
KwOiszVmplnh,12,38,4,3,3,2,3,3
KwOjcf\nQ}f{,12,38,2,3,3,3,4,4
KwOjsu|tPmjf,12,38,4,3,3,2,3,3
KwPZSvTnPlf\,12,38,4,2,3,,,
KwS`Kyztq|nw,12,38,4,2,3,,,
KwTJSu|tPmev,12,38,4,2,4,,,
KxQL}gNLYvne,12,39,4,2,3,,,
KxQT]wNMy|Mf,12,39,4,2,3,,,
KxQ\]gNKyvne,12,39,4,2,3,,,
KxUE|wNRXlmf,12,39,4,2,3,,,
KxUE|xkRXlq^,12,39,4,2,4,,,
KxYLmgNNY|I^,12,39,4,2,3,,,
KxYMlgVRX|j],12,39,4,2,3,,,
Kx]\MgNRhfi^,12,39,4,2,3,,,
KyUT}WVJXVmf,12,39,4,2,3,,,
KyUU\wNIxlmf,12,39,4,2,3,,,
Ky]\mGVJXVi^,12,39,4,2,3,,,
Ky]uCa^Tp]d^,12,38,4,3,4,,,
KycbxzhtS\a~,12,39,4,2,3,,,
KycdzzKJYlq^,12,39,4,2,4,,,
KycdzzgbYla~,12,39,4,2,3,,,
Kyct}hwbXNh^,12,39,4,2,3,,,
KyurC_~Ts]d^,12,38,4,3,4,,,
KzUmCa^Rp]e^,12,38,4,3,4,,,
KzqQ{yeMYNd^,12,39,4,2,3,,,
KzqQ{yeMYVc~,12,39,4,2,3,,,
KzqQ{ye[W^d^,12,39,4,2,3,,,
KzqSyYdTxvD^,12,39,4,3,3,3,4,4
Kzqa[`VMszd},12,38,4,3,3,2,3,3
KzqcykyRXZq^,12,39,2,2,3,,,
K{LOLnYIz{h},12,38,4,3,3,1,3,3
K{R\qsNJjben,12,39,4,2,3,,,
K{Sd}g|]I]o~,12,39,4,2,3,,,
K{^Tas{ByNc~,12,39,2,2,3,,,
K{dE|XwVXnC~,12,39,4,2,3,,,
K|KA{jNJZYiz,12,38,4,2,3,,,
K|S@KnNVP|ly,12,38,4,3,3,3,4,4
K|S@{jNHzYjj,12,38,4,3,3,3,4,4
K|UB]Y]MXmg~,12,39,4,2,3,,,
K|Y]G[nVQfe^,12,39,4,2,3,,,
K|ZAxZDL{vB^,12,39,4,2,3,,,
K|ZEGonL{zJZ,12,38,2,2,3,,,
K|f@iPjVXmp|,12,38,4,3,3,3,4,4
K|fA{WtLzVH^,12,39,4,2,3,,,
K}GR~JWN[^@~,12,39,2,2,3,,,
K}K@{mlXqxhn,12,38,4,3,3,2,3,3
K}KsAEnfr]j{,12,38,1,3,4,,,
K}KyCE^jrVIz,12,38,2,3,3,3,4,4
K}LOKufYp|h},12,38,4,3,3,3,3,3
K}L[@E^jqml\,12,38,4,2,3,,,
K}MB[{{TlJh^,12,39,4,2,4,,,
K}MB[}kThrg~,12,39,4,3,3,4,4,4
K}QkyxiBxje^,12,39,2,2,3,,,
K}SoKmjQx|ly,12,38,4,2,3,,,
K}UkP_~dq]k^,12,38,4,3,4,,,
K}Uk`O~dq]k^,12,38,4,2,4,,,
K}ctIO~Ts]lN,12,38,4,3,3,3,4,4
K}dTHO~Ts]lN,12,38,4,3,3,3,4,4
K}e`{XTLzVH^,12,39,4,2,3,,,
K}f`_S~TtUhn,12,38,4,2,3,,,
K}gwKtJWy|e},12,38,4,2,3,,,
K}hDZX]M[ma~,12,39,4,2,3,,,
K}hKHa^Vpuk|,12,38,4,3,4,,,
K}hK`I^Vpuk|,12,38,4,2,4,,,
K}hXcC~erMhn,12,38,4,3,3,1,3,3
K}iP{XpXyv@~,12,39,2,2,3,,,
K~Dk?UnfrMj\,12,38,4,2,3,,,
K~`E\X\Lpt`~,12,39,2,2,3,,,
