canonical_graph6,n,m,origin_count,gamma,alpha,earliest_forced_rank,latest_forced_rank,full_kernel_deletion_depth
K?vHllumju[N,12,38,2,2,4,,,
K?vM@iz]tmm{,12,37,2,3,4,,,
K@Ar|pxvM^\Y,12,38,4,3,4,,,
K@Az|pxr}x\X,12,39,1,3,4,,,
K@BDz}{^Ms|L,12,38,1,3,4,,,
K@DYTU}{nY}w,12,37,4,3,4,,,
K@DYtU{{nY{{,12,37,4,3,4,,,
K@D\Rm{{MV|q,12,37,4,3,4,,,
K@HJk}{uVT}e,12,37,4,3,4,,,
K@HRZy[fmR}T,12,36,4,3,4,,,
K@HYS}yzNe}s,12,37,4,3,4,,,
K@HZS}wzMf}s,12,37,4,3,4,,,
K@Hkqm|{NUzq,12,37,4,3,4,,,
K@Hkq}{qnb}q,12,37,4,3,4,,,
K@Hkq}{yfbyu,12,37,4,3,4,,,
K@HrZq[emZy],12,36,2,3,4,,,
K@Hr[yZr]f^B,12,37,2,3,4,,,
K@ILix^s^w|Y,12,37,4,3,4,,,
K@Ilqp\q}n]i,12,37,4,3,4,,,
K@Ki[nk}ej}[,12,37,4,3,4,,,
K@KilZwxmuy{,12,37,4,3,4,,,
K@Kq[^u}fRYj,12,37,2,3,4,,,
K@LQS]v{nY~o,12,37,4,2,4,,,
K@LYS]r}fJ}s,12,37,4,3,4,,,
K@LYTE^}fJ}w,12,37,4,3,4,,,
K@L[ZMrqnq}e,12,37,4,3,3,1,3,3
K@Lka}m}FFyu,12,37,4,3,3,2,3,3
K@LsQ]vsnq|q,12,37,4,3,3,2,3,3
K@LysUp{mZ{{,12,37,4,3,3,3,3,4
K@L{Q]rufb{u,12,37,4,2,3,,,
K@L{Qmr{NUxu,12,37,4,2,3,,,
K@L|AqZyul{{,12,37,4,3,3,3,4,4
K@OjJu\fmd~`,12,36,4,3,4,,,
K@OjJxyfK{yZ,12,35,4,3,4,,,
K@OjJy[fmf~S,12,36,4,3,4,,,
K@OjKy^s~w~W,12,37,4,3,4,,,
K@Oj{y\s~H~H,12,37,4,2,4,,,
K@PTRM^nNq~o,12,37,4,3,4,,,
K@PdZu]mMj~a,12,37,4,3,4,,,
K@QJIm}nVs~K,12,37,2,3,4,,,
K@QJJq{nun^S,12,37,4,3,4,,,
K@QJJu}nUk~D,12,37,4,2,4,,,
K@Qjry[mmb{t,12,37,4,3,3,1,3,3
K@UYjeem^T|k,12,37,4,3,4,,,
K@Uaje]m^[|k,12,37,4,3,4,,,
