seed_id,pair_index,first_vertex,second_vertex,toggle_action,raw_graph6,canonical_graph6,category
ET-0002,1,0,2,add,JPl|bfNuVK_,JtGZQnlvb}?,gamma_below_eternal
ET-0002,2,0,3,add,JDl|bfNuVK_,JtGZQnlvb}?,gamma_below_eternal
ET-0002,3,0,4,delete,J@L|bfNuVK_,JCvvPorTzZ?,gamma_below_eternal
ET-0002,4,0,5,add,J@n|bfNuVK_,JoXP|jZ^V{?,gamma_below_eternal
ET-0002,5,0,6,delete,J@lxbfNuVK_,JCvvPorTzZ?,gamma_below_eternal
ET-0002,6,0,7,add,J@l|ffNuVK_,JoXP|jZ^V{?,gamma_below_eternal
ET-0002,7,0,8,delete,J@l|bdNuVK_,JMutOkN[zZ?,gamma_below_eternal
ET-0002,8,0,9,delete,J@l|bfNUVK_,JKun_ktRzr?,gamma_below_eternal
ET-0002,9,0,10,delete,J@l|bfNuRK_,JKun_ktRzr?,gamma_below_eternal
ET-0002,10,1,2,add,JHl|bfNuVK_,JtGZQnlvb}?,gamma_below_eternal
ET-0002,11,1,3,add,JBl|bfNuVK_,JtGZQnlvb}?,gamma_below_eternal
ET-0002,12,1,4,add,J@||bfNuVK_,JoXP|jZ^V{?,gamma_below_eternal
ET-0002,13,1,5,delete,J@k|bfNuVK_,JCvvPorTzZ?,gamma_below_eternal
ET-0002,14,1,6,add,J@l~bfNuVK_,JoXP|jZ^V{?,gamma_below_eternal
ET-0002,15,1,7,delete,J@l|`fNuVK_,JCvvPorTzZ?,gamma_below_eternal
ET-0002,16,1,8,delete,J@l|beNuVK_,JMutOkN[zZ?,gamma_below_eternal
ET-0002,17,1,9,delete,J@l|bfNeVK_,JKun_ktRzr?,gamma_below_eternal
ET-0002,18,1,10,delete,J@l|bfNuTK_,JKun_ktRzr?,gamma_below_eternal
ET-0002,19,2,3,delete,J?l|bfNuVK_,J?qz|pxtNE_,gamma_below_eternal
ET-0002,20,2,4,delete,J@d|bfNuVK_,J@pi~JRnLu?,gamma_below_eternal
ET-0002,21,2,5,delete,J@l\bfNuVK_,J@qQz^dmnw?,gamma_below_eternal
ET-0002,22,2,6,delete,J@l{bfNuVK_,J@qQz^dmnw?,gamma_below_eternal
ET-0002,23,2,7,delete,J@l|afNuVK_,J@pi~JRnLu?,gamma_below_eternal
ET-0002,24,2,8,add,J@l|bfnuVK_,JDYjfNXNm{_,gamma_below_eternal
ET-0002,25,2,9,add,J@l|bfN}VK_,JDYjeN]Nvq_,gamma_below_eternal
ET-0002,26,2,10,delete,J@l|bfNuUK_,JBbLRNZnR{?,gamma_below_eternal
ET-0002,27,3,4,delete,J@h|bfNuVK_,J@qQz^dmnw?,gamma_below_eternal
ET-0002,28,3,5,delete,J@llbfNuVK_,J@pi~JRnLu?,gamma_below_eternal
ET-0002,29,3,6,delete,J@l|BfNuVK_,J@pi~JRnLu?,gamma_below_eternal
ET-0002,30,3,7,delete,J@l|bFNuVK_,J@qQz^dmnw?,gamma_below_eternal
ET-0002,31,3,8,add,J@l|bf^uVK_,JDYjfNXNm{_,gamma_below_eternal
