# positive_definite_k5_catalog=101272 selected_bases=5000 quadratic_rows=12005000 rank_five_labeled=157083 distinct_triangle_count_vectors=137296
5,3,4,5,1,5,1,2,5,1,3,5,5,3,1,3,3,6,6,9,9,10,10,10,10,10,10,13,15,23,28,33,38,44,47
5,5,3,3,1,5,1,1,3,1,5,2,5,5,5,3,3,6,6,10,10,10,10,10,10,10,10,15,15,23,28,33,38,47,47
5,5,3,3,0,5,1,1,3,1,5,3,5,5,5,1,1,1,1,3,3,10,10,10,10,10,10,15,15,33,33,38,38,47,47
2,5,3,1,6,6,2,6,0,1,3,2,5,6,2,0,0,0,0,7,7,7,7,10,10,10,10,17,17,29,29,29,29,40,40
6,6,2,2,2,6,1,3,1,1,3,1,5,6,5,4,4,4,4,7,7,7,7,10,10,10,10,19,19,20,24,24,34,48,50
3,5,3,4,1,5,2,1,5,1,2,3,6,4,3,6,6,7,7,9,9,9,9,10,10,10,10,21,21,26,26,37,37,38,38
3,5,3,1,5,6,2,5,0,1,3,2,4,6,3,0,0,1,1,7,7,9,9,10,10,10,10,21,21,26,28,37,39,39,39
3,5,3,1,4,5,2,5,1,1,2,3,5,5,3,6,6,6,6,9,9,10,10,10,10,10,10,21,21,28,28,36,36,38,38
3,5,3,5,0,5,2,1,5,1,2,3,6,5,3,1,1,1,1,6,6,7,7,10,10,10,10,21,21,28,28,38,38,39,39
5,5,3,4,3,6,1,5,1,1,5,1,3,6,3,4,4,4,4,10,10,10,10,10,10,10,10,32,32,34,34,44,44,48,48
3,2,5,6,1,5,1,1,5,1,3,6,6,3,1,3,3,4,4,6,7,10,10,10,10,10,11,11,11,11,11,23,24,48,49
5,5,3,3,1,6,1,1,3,1,3,1,6,6,4,3,4,4,4,9,9,9,10,10,10,10,11,11,11,11,11,33,34,46,48
6,4,3,1,1,5,1,1,2,1,3,5,6,4,6,3,4,4,4,5,7,7,9,9,9,10,11,11,11,13,13,28,39,45,46
6,6,3,1,1,5,2,3,1,1,3,2,5,5,5,3,4,6,6,6,6,7,10,10,10,10,11,11,11,23,23,24,33,47,49
3,2,5,6,0,5,1,1,5,1,3,6,6,3,2,0,0,1,1,3,4,6,6,10,10,10,11,11,11,23,24,24,24,48,49
6,6,1,2,3,6,1,3,1,1,3,1,5,6,5,4,4,4,4,4,4,6,10,10,10,10,11,11,11,23,24,24,34,48,50
6,5,3,1,1,5,1,3,3,1,3,3,5,4,5,3,3,9,9,9,10,10,10,10,10,10,11,11,11,33,33,33,33,44,48
5,5,3,3,3,6,1,1,1,1,3,1,6,6,6,4,4,4,4,4,4,10,10,10,10,10,11,11,11,33,34,34,34,48,50
6,6,1,5,1,6,1,5,1,1,5,3,3,6,3,4,4,4,4,4,4,10,10,10,10,10,11,11,11,33,34,48,48,48,50
5,5,2,1,4,6,1,3,1,1,3,1,6,6,4,4,4,4,4,6,6,7,9,9,10,10,11,11,12,13,13,27,34,46,48
6,5,3,1,1,5,1,3,1,1,3,4,5,5,5,3,3,3,4,10,10,10,10,10,10,10,11,11,13,13,13,33,36,47,48
5,4,3,5,1,5,1,1,5,1,3,5,6,3,1,3,3,3,4,8,9,10,10,10,10,10,11,11,13,15,15,36,39,44,47
6,3,3,1,3,6,1,2,1,1,4,2,5,6,4,4,4,5,6,7,7,7,8,9,9,10,11,11,13,21,25,27,34,40,45
3,1,6,4,4,5,1,3,5,1,2,6,6,2,0,0,0,1,2,3,4,5,6,7,7,10,11,11,14,23,27,32,36,46,48
6,6,2,5,1,5,1,3,3,1,3,3,5,5,1,3,3,6,7,7,8,8,10,10,10,10,11,11,15,28,33,33,39,39,49
6,5,3,1,5,5,1,3,3,1,3,3,5,5,1,3,3,8,8,10,10,10,10,10,10,10,11,11,15,33,33,38,38,39,48
6,4,3,2,1,6,1,2,1,1,2,3,6,5,6,3,4,4,7,7,7,7,9,9,10,10,11,11,18,20,20,24,24,46,49
6,6,1,3,3,5,1,2,5,1,2,5,6,3,1,3,4,4,6,6,7,7,8,8,10,10,11,11,19,24,24,39,39,47,49
5,4,2,3,4,6,1,1,5,1,2,6,6,3,1,3,4,4,5,6,7,7,7,9,10,10,11,11,22,22,24,43,44,45,49
6,6,2,3,1,5,1,2,1,1,3,3,5,6,5,3,4,4,6,6,7,7,7,10,10,10,11,11,23,23,24,33,34,48,49
6,6,1,2,5,6,1,3,6,1,3,6,5,2,1,4,4,4,6,6,6,6,7,7,10,10,11,11,24,24,34,49,49,50,50
6,4,2,1,5,6,1,2,5,1,4,3,6,3,1,3,4,5,6,7,7,7,7,8,9,10,11,12,14,23,27,36,39,46,48
6,5,2,1,3,6,1,4,1,1,4,1,5,6,3,4,4,4,4,6,6,7,8,9,9,10,11,13,13,13,14,24,39,43,49
6,3,3,1,4,6,1,2,1,1,4,1,5,6,5,4,4,4,4,6,6,7,8,9,9,10,11,13,13,13,14,27,37,40,48
6,3,3,1,6,6,1,2,5,1,4,5,5,2,1,4,4,6,6,6,6,6,7,8,9,10,11,13,13,24,27,39,40,48,49
5,4,3,1,3,5,1,4,1,1,3,3,5,6,3,3,4,8,9,9,9,10,10,10,10,10,11,13,13,31,32,34,36,39,44
6,5,2,6,1,6,1,5,1,1,3,4,3,6,1,3,4,4,4,4,6,7,7,8,9,10,11,13,14,14,24,39,39,49,49
3,3,3,1,6,5,2,5,1,1,5,2,4,6,1,3,4,6,6,6,7,7,8,9,10,10,11,13,14,21,24,26,33,40,47
4,3,5,2,0,5,1,1,4,1,3,5,6,3,6,0,1,1,2,3,4,5,9,10,10,10,11,13,14,21,29,36,39,40,44
6,5,2,3,0,5,1,4,2,1,1,3,6,6,5,0,0,1,1,3,4,6,7,7,10,10,11,13,14,23,24,26,37,48,49
3,3,5,6,0,5,1,1,5,1,4,5,6,3,2,0,1,1,1,3,4,6,10,10,10,10,11,13,14,24,26,33,37,47,49
4,4,3,1,5,6,1,5,3,1,6,2,3,5,1,3,4,6,7,8,9,9,10,10,10,10,11,13,14,24,26,36,38,43,49
4,5,3,5,1,6,2,1,2,1,2,1,6,6,5,3,4,5,6,6,7,7,7,7,7,10,11,13,15,20,22,28,39,45,49
5,4,2,3,1,6,1,1,2,1,2,5,6,5,6,4,4,5,6,6,6,6,7,7,7,10,11,13,15,22,24,29,29,45,49
6,5,2,6,1,6,1,5,3,1,3,5,3,4,1,4,4,5,6,7,8,9,9,10,10,10,11,13,15,24,39,39,39,49,49
5,4,3,5,0,5,1,1,3,1,3,4,6,5,3,1,1,1,2,3,4,8,9,10,10,10,11,13,15,32,36,36,39,39,44
