# feasible_labeled_k5=12087822 distinct_triangle_count_vectors=105930
4319134,2,6,2,0,6,2,6,0,2,6
5326130,6,6,2,0,6,2,2,0,2,6
21354344,3,6,2,0,6,2,5,0,2,6
21857841,5,6,2,0,6,2,3,0,2,6
38385390,4,6,2,0,6,2,4,0,2,6
1096141287,3,5,3,5,6,2,0,0,2,6
1096644784,5,5,3,3,6,2,0,0,2,6
1113172333,4,5,3,4,6,2,0,0,2,6
2187696875,4,4,4,4,6,2,0,0,2,6
213793928433,5,6,2,1,6,2,1,0,2,6
282513405234,6,6,2,1,6,2,1,0,2,6
351235818798,4,6,2,1,6,2,2,0,2,6
419954808670,2,6,2,1,6,2,5,0,2,6
419955557681,5,6,2,1,6,2,2,0,2,6
488675296562,6,6,2,1,6,2,2,0,2,6
488691303976,3,6,2,1,6,2,3,0,2,6
488708093672,3,6,2,1,6,2,4,0,2,6
488708343342,4,6,2,1,6,2,3,0,2,6
488724879208,3,6,2,1,6,2,5,0,2,6
488725382705,5,6,2,1,6,2,3,0,2,6
488741660584,3,6,2,1,6,2,6,0,2,6
488742422066,6,6,2,1,6,2,3,0,2,6
488758687470,4,6,2,1,6,2,4,0,2,6
488775473006,4,6,2,1,6,2,5,0,2,6
488775726833,5,6,2,1,6,2,4,0,2,6
488792766194,6,6,2,1,6,2,4,0,2,6
488809289585,5,6,2,1,6,2,5,0,2,6
1119179880158,2,6,2,2,6,2,4,0,2,6
1119181728690,2,6,2,4,6,2,6,0,6,2
1120238955633,2,6,2,5,6,2,5,0,6,2
1122469250590,2,6,2,3,6,2,3,0,2,6
1186812299825,3,6,2,3,6,2,5,0,6,2
1186825585960,3,6,2,2,6,2,2,0,2,6
1186829339186,3,6,2,3,6,2,6,0,6,2
1187869789102,3,6,2,4,6,2,4,0,6,2
1187886828465,3,6,2,4,6,2,5,0,6,2
1187903867826,3,6,2,4,6,2,6,0,6,2
1188961094769,3,6,2,5,6,2,5,0,6,2
1188978134130,3,6,2,5,6,2,6,0,6,2
1190047090216,3,6,2,2,6,2,3,0,2,6
1190047364840,3,6,2,2,6,2,4,0,2,6
1190047635304,3,6,2,2,6,2,5,0,2,6
1190052138162,3,6,2,6,6,2,6,0,6,2
1194409953256,3,6,2,3,6,2,3,0,2,6
1194410752040,3,6,2,3,6,2,4,0,2,6
1194411284584,3,6,2,3,6,2,5,0,2,6
1197682309352,3,6,2,4,6,2,4,0,2,6
1256590863278,4,6,2,4,6,2,4,0,6,2
